Angle_deg,RET_eV,Displaced,DamageEnergy_eV,Cumulative_Damage_eV,LargeAngle
0.067631,160.2605640368815,True,160.2605640368815,160.2605640368815,False
0.0373633,48.913139379003276,True,48.913139379003276,209.17370341588477,False
0.0452858,71.85535926711795,True,71.85535926711795,281.02906268300273,False
0.0759805,202.27365870408119,True,202.27365870408119,483.3027213870839,False
0.0637022,142.181770232878,True,142.181770232878,625.4844916199619,False
0.0619323,134.3907800474468,True,134.3907800474468,759.8752716674087,False
0.144391,730.491417548263,True,730.491417548263,1490.3666892156716,False
0.0430235,64.85546155069719,True,64.85546155069719,1555.2221507663687,False
0.0230698,18.647591741036834,False,0.0,1555.2221507663687,False
0.07905,218.94688913023396,True,218.94688913023396,1774.1690398966027,False
0.00726051,1.8470104584552427,False,0.0,1774.1690398966027,False
0.0818752,234.87661167860193,True,234.87661167860193,2009.0456515752046,False
0.0137815,6.654693782609551,False,0.0,2009.0456515752046,False
0.0132068,6.111253507373092,False,0.0,2009.0456515752046,False
0.0730117,186.77552329014634,True,186.77552329014634,2195.821174865351,False
0.0509384,90.91293311728465,True,90.91293311728465,2286.734107982636,False
0.0106807,3.9970035278321534,False,0.0,2286.734107982636,False
0.0559676,109.75098650362652,True,109.75098650362652,2396.4850944862624,False
0.142139,707.8828455296651,True,707.8828455296651,3104.3679400159276,False
0.0351252,43.22875194677218,True,43.22875194677218,3147.5966919627,False
0.0142772,7.142022000933591,False,0.0,3147.5966919627,False
0.149153,779.468986327638,True,779.468986327638,3927.065678290338,False
0.117185,481.1483453987586,True,481.1483453987586,4408.214023689096,False
0.0135619,6.444306275981766,False,0.0,4408.214023689096,False
0.0158893,8.845952973980058,False,0.0,4408.214023689096,False
0.0437547,67.07867867053224,True,67.07867867053224,4475.2927023596285,False
0.076157,203.21449910194778,True,203.21449910194778,4678.507201461576,False
0.0622709,135.86429569922103,True,135.86429569922103,4814.371497160797,False
0.140033,687.0615885819553,True,687.0615885819553,5501.433085742752,False
0.0626086,137.34189686542905,True,137.34189686542905,5638.774982608181,False
0.033023,38.2092168550351,True,38.2092168550351,5676.984199463216,False
0.0373137,48.783360622736254,True,48.783360622736254,5725.767560085952,False
0.0666493,155.641796616256,True,155.641796616256,5881.409356702208,False
0.0652359,149.11054894881846,True,149.11054894881846,6030.519905651026,False
0.0451609,71.45954611707947,True,71.45954611707947,6101.979451768106,False
0.14242,710.6844917839585,True,710.6844917839585,6812.663943552065,False
0.0986994,341.321791991033,True,341.321791991033,7153.985735543098,False
0.0814756,232.58952988052403,True,232.58952988052403,7386.575265423622,False
0.0509353,90.90186792880914,True,90.90186792880914,7477.477133352431,False
0.0502821,88.58534610410769,True,88.58534610410769,7566.062479456539,False
0.0216679,16.450107461180462,False,0.0,7566.062479456539,False
0.0590904,122.34012518119481,True,122.34012518119481,7688.402604637734,False
0.0201508,14.227207972274613,False,0.0,7688.402604637734,False
0.0754671,199.54936935383995,True,199.54936935383995,7887.951973991574,False
0.0443332,68.86415738218692,True,68.86415738218692,7956.816131373761,False
0.0409519,58.760190206117635,True,58.760190206117635,8015.576321579879,False
0.0332103,38.64387642534984,True,38.64387642534984,8054.220198005229,False
0.0263364,24.302329845260164,True,24.302329845260164,8078.522527850489,False
0.0812561,231.3379988000968,True,231.3379988000968,8309.860526650586,False
0.0528896,98.01118351804523,True,98.01118351804523,8407.87171016863,False
0.048389,82.04051308151081,True,82.04051308151081,8489.912223250141,False
0.0628966,138.60835028324874,True,138.60835028324874,8628.52057353339,False
0.0470392,77.52734814880232,True,77.52734814880232,8706.047921682191,False
0.131311,604.1393537490272,True,604.1393537490272,9310.187275431219,False
0.0774754,210.31133852231576,True,210.31133852231576,9520.498613953534,False
0.088429,273.98351987050853,True,273.98351987050853,9794.482133824042,False
0.0315116,34.791727922542556,True,34.791727922542556,9829.273861746584,False
0.0535299,100.39866357664947,True,100.39866357664947,9929.672525323233,False
0.0380793,50.805765098061016,True,50.805765098061016,9980.478290421293,False
0.0838573,246.38642264503508,True,246.38642264503508,10226.864713066328,False
0.0199643,13.965074907139394,False,0.0,10226.864713066328,False
0.0549437,105.77203752559994,True,105.77203752559994,10332.636750591928,False
0.0645538,146.0086811479213,True,146.0086811479213,10478.64543173985,False
0.131845,609.0630273047938,True,609.0630273047938,11087.708459044643,False
0.0290465,29.56124411967855,True,29.56124411967855,11117.269703164322,False
0.0965496,326.6148707744555,True,326.6148707744555,11443.884573938778,False
0.0242532,20.609772083121456,True,20.609772083121456,11464.4943460219,False
0.0238219,19.883273551234048,False,0.0,11464.4943460219,False
0.063822,142.7170544464266,True,142.7170544464266,11607.211400468326,False
0.103945,378.5665065447602,True,378.5665065447602,11985.777907013087,False
0.0157395,8.67994474278302,False,0.0,11985.777907013087,False
0.101722,362.54737594707285,True,362.54737594707285,12348.32528296016,False
0.0504285,89.101942418597,True,89.101942418597,12437.427225378759,False
0.0,0.0,False,0.0,12437.427225378759,False
0.45312,7193.815564460478,True,7193.815564460478,19631.242789839234,False
0.0171815,10.343255408925131,False,0.0,19631.242789839234,False
0.0543043,103.3245462038408,True,103.3245462038408,19734.567336043074,False
0.00162665,0.09270930691335068,False,0.0,19734.567336043074,False
