Angle_deg,RET_eV,Displaced,DamageEnergy_eV,Cumulative_Damage_eV,LargeAngle
0.0114577,4.599705129367285,False,0.0,0.0,False
0.0241308,20.402272000622503,True,20.402272000622503,20.402272000622503,False
0.0386042,52.21607178942321,True,52.21607178942321,72.61834379004571,False
0.0453513,72.06336837699112,True,72.06336837699112,144.68171216703684,False
0.075419,199.29507935282035,True,199.29507935282035,343.9767915198572,False
0.0524943,96.5515759074813,True,96.5515759074813,440.5283674273385,False
0.129928,591.4804844491832,True,591.4804844491832,1032.0088518765217,False
0.0619221,134.3465164582821,True,134.3465164582821,1166.3553683348039,False
0.0444145,69.11696066435469,True,69.11696066435469,1235.4723289991587,False
0.0330199,38.20204349044959,True,38.20204349044959,1273.6743724896082,False
0.0785254,216.05053495970697,True,216.05053495970697,1489.7249074493152,False
0.0223826,17.55319432554904,False,0.0,1489.7249074493152,False
0.0586928,120.69929079832654,True,120.69929079832654,1610.4241982476417,False
0.0315116,34.791727922542556,True,34.791727922542556,1645.2159261701843,False
0.0222157,17.292393038912223,False,0.0,1645.2159261701843,False
0.0231413,18.763359449239807,False,0.0,1645.2159261701843,False
0.0358059,44.920468181729206,True,44.920468181729206,1690.1363943519134,False
21.6321,16201955.844277149,True,16201955.844277149,16203645.9806715,True
55.5147,99794162.02706403,True,99794162.02706403,115997808.00773552,True
53.1344,92031287.81777252,True,92031287.81777252,208029095.82550806,True
65.7793,135667692.497089,True,135667692.497089,343696788.322597,True
50.719,84397464.30286294,True,84397464.30286294,428094252.62545997,True
63.9493,129016263.70588347,True,129016263.70588347,557110516.3313434,True
103.976,285602815.2437066,True,285602815.2437066,842713331.57505,True
21.8726,16559807.201711994,True,16559807.201711994,859273138.776762,True
49.7698,81467635.87296282,True,81467635.87296282,940740774.6497248,True
0.0,0.0,False,0.0,940740774.6497248,False
0.0624949,136.8435118941209,True,136.8435118941209,940740911.4932368,False
0.0323071,36.57051192164301,True,36.57051192164301,940740948.0637487,False
0.0626295,137.43360709260696,True,137.43360709260696,940741085.4973558,False
