angle_deg,d_sigma_dOmega
0.0,3085.6709748978233
0.5128205128205128,0.9577136480515884
1.0256410256410255,0.5746588792364374
1.5384615384615383,0.8210070273556642
2.051282051282051,0.3193146187398644
2.564102564102564,0.5225846089762569
3.0769230769230766,0.44225784322243
3.5897435897435894,0.38336180201242576
4.102564102564102,0.16916635365705396
4.615384615384615,0.45418729597889174
5.128205128205128,0.27402744570392223
5.6410256410256405,0.0
6.153846153846153,0.23032457125014227
6.666666666666666,0.1066688022849577
7.179487179487179,0.19869901313926472
7.692307692307692,0.09297714027644674
8.205128205128204,0.17475907673631663
8.717948717948717,0.49454332841653525
9.23076923076923,0.15601218624263835
9.743589743589743,0.07404341057296784
10.256410256410255,0.14093848531727285
10.769230769230768,0.20168814631336815
11.282051282051281,0.19283777606044927
11.794871794871794,0.24632755518864752
12.307692307692307,0.29553163577085256
12.82051282051282,0.056826482819104324
13.333333333333332,0.27360101641556495
13.846153846153845,0.2110742335604336
14.358974358974358,0.25477637506394896
14.87179487179487,0.09853257341962247
15.384615384615383,0.047689371975070026
15.897435897435896,0.1848554455675932
16.41025641025641,0.13449119655348915
16.92307692307692,0.17412298214513489
17.435897435897434,0.21153808998946527
17.94871794871795,0.12346366078847007
18.46153846153846,0.040065798062233725
18.97435897435897,0.19518105524956672
19.487179487179485,0.07612237281309986
