Angle_deg,RET_eV,Displaced,DamageEnergy_eV,Cumulative_Damage_eV,LargeAngle
0.0513975,92.55908668549031,True,92.55908668549031,92.55908668549031,False
0.0567901,113.00049101715095,True,113.00049101715095,205.55957770264126,False
0.0371603,48.38307950041667,True,48.38307950041667,253.94265720305793,False
0.051657,93.49608619488642,True,93.49608619488642,347.43874339794434,False
0.00588808,1.2147376797418823,False,0.0,347.43874339794434,False
32.1741,35326901.03457951,True,35326901.03457951,35327248.473322906,True
41.6013,58020927.927737,True,58020927.927737,93348176.4010599,True
39.3058,52041387.350317925,True,52041387.350317925,145389563.75137782,True
66.1344,136969725.81628186,True,136969725.81628186,282359289.5676597,True
102.695,280598360.2638691,True,280598360.2638691,562957649.8315288,True
56.8146,104129288.46341394,True,104129288.46341394,667086938.2949427,True
1.33296,62251.48922571612,True,62251.48922571612,667149189.7841685,False
0.0325776,37.185468775981306,True,37.185468775981306,667149226.9696373,False
0.0843391,249.22576940801173,True,249.22576940801173,667149476.1954067,False
0.0515641,93.16010169875433,True,93.16010169875433,667149569.3555083,False
0.0113376,4.503781982903257,False,0.0,667149569.3555083,False
13.6978,6542854.10319347,True,6542854.10319347,673692423.4587018,True
11.3141,4470575.526147924,True,4470575.526147924,678162998.9848498,True
128.273,372534885.17157024,True,372534885.17157024,1050697884.15642,True
20.7399,14907373.139584126,True,14907373.139584126,1065605257.2960042,True
0.0,0.0,False,0.0,1065605257.2960042,False
0.0198112,13.751708556619594,False,0.0,1065605257.2960042,False
0.0557601,108.93869111056091,True,108.93869111056091,1065605366.2346953,False
0.121422,516.570618720693,True,516.570618720693,1065605882.8053141,False
0.0262115,24.072369534297383,True,24.072369534297383,1065605906.8776836,False
0.0267361,25.04558645110557,True,25.04558645110557,1065605931.9232701,False
0.0933976,305.6373574683323,True,305.6373574683323,1065606237.5606276,False
0.0451325,71.36969791290764,True,71.36969791290764,1065606308.9303255,False
0.0659366,152.3309496887753,True,152.3309496887753,1065606461.2612752,False
0.0826227,239.1849173163302,True,239.1849173163302,1065606700.4461925,False
0.0550196,106.06446930920258,True,106.06446930920258,1065606806.5106618,False
0.0845154,250.26880683799317,True,250.26880683799317,1065607056.7794687,False
0.0623472,136.1974463585782,True,136.1974463585782,1065607192.976915,False
0.0158556,8.808469575662587,False,0.0,1065607192.976915,False
0.0329775,38.10399796947162,True,38.10399796947162,1065607231.080913,False
0.0434056,66.01256472896588,True,66.01256472896588,1065607297.0934777,False
0.0866605,263.1342603726153,True,263.1342603726153,1065607560.2277381,False
0.123023,530.2828225481016,True,530.2828225481016,1065608090.5105606,False
0.0392437,53.96037715379626,True,53.96037715379626,1065608144.4709377,False
0.0443968,69.06188286882714,True,69.06188286882714,1065608213.5328206,False
0.0422064,62.41539175723878,True,62.41539175723878,1065608275.9482124,False
0.17451,1067.0269795982936,True,1067.0269795982936,1065609342.975192,False
0.0635612,141.5530496990986,True,141.5530496990986,1065609484.5282416,False
0.0220849,17.089366673106404,False,0.0,1065609484.5282416,False
0.107951,408.30839600844627,True,408.30839600844627,1065609892.8366376,False
0.0892391,279.0264507488264,True,279.0264507488264,1065610171.8630884,False
0.066959,157.0916017874006,True,157.0916017874006,1065610328.9546901,False
0.050792,90.39110572698195,True,90.39110572698195,1065610419.3457959,False
0.0291217,29.714507551585495,True,29.714507551585495,1065610449.0603034,False
0.0700389,171.87538282715118,True,171.87538282715118,1065610620.9356862,False
0.0105716,3.915764300296139,False,0.0,1065610620.9356862,False
0.0506666,89.94532483961007,True,89.94532483961007,1065610710.8810111,False
0.0310213,33.71747748108636,True,33.71747748108636,1065610744.5984886,False
51.0343,85379562.5750838,True,85379562.5750838,1150990307.1735723,True
90.0094,230081449.49366263,True,230081449.49366263,1381071756.667235,True
34.8249,41200573.51966206,True,41200573.51966206,1422272330.186897,True
104.003,285708005.4827347,True,285708005.4827347,1707980335.6696317,True
0.0,0.0,False,0.0,1707980335.6696317,False
0.0264164,24.45019661549189,True,24.45019661549189,1707980360.1198282,False
0.0728178,185.78478675666398,True,185.78478675666398,1707980545.904615,False
0.0331938,38.60548679643252,True,38.60548679643252,1707980584.5101018,False
0.0341104,40.766996023099345,True,40.766996023099345,1707980625.2770977,False
0.0803407,226.15502969679702,True,226.15502969679702,1707980851.4321275,False
0.0481217,81.13663579670269,True,81.13663579670269,1707980932.5687633,False
0.0396026,54.95187058551572,True,54.95187058551572,1707980987.520634,False
0.0391956,53.828182512387535,True,53.828182512387535,1707981041.3488164,False
0.0456796,73.11048432202504,True,73.11048432202504,1707981114.4593008,False
0.00629003,1.3862467229086057,False,0.0,1707981114.4593008,False
17.4083,10536692.257025773,True,10536692.257025773,1718517806.7163265,True
12.2696,5254551.050049636,True,5254551.050049636,1723772357.766376,True
35.0019,41607310.0244588,True,41607310.0244588,1765379667.790835,True
26.2954,23804462.956240676,True,23804462.956240676,1789184130.7470756,True
88.0541,222232382.48098513,True,222232382.48098513,2011416513.2280607,True
42.3779,60106883.80582616,True,60106883.80582616,2071523397.033887,True
27.4085,25823072.612275403,True,25823072.612275403,2097346469.6461623,True
86.3134,215252146.34152403,True,215252146.34152403,2312598615.987686,True
81.7335,196968572.53805086,True,196968572.53805086,2509567188.525737,True
32.0735,35112121.20546497,True,35112121.20546497,2544679309.7312016,True
21.9231,16635426.589391967,True,16635426.589391967,2561314736.320594,True
0.0,0.0,False,0.0,2561314736.320594,False
0.0,0.0,False,0.0,2561314736.320594,False
0.0,0.0,False,0.0,2561314736.320594,False
0.111185,433.1390741244837,True,433.1390741244837,2561315169.459668,False
0.0619806,134.60048016144782,True,134.60048016144782,2561315304.0601482,False
0.0655258,150.43874987433588,True,150.43874987433588,2561315454.498898,False
50.8581,84830191.85350432,True,84830191.85350432,2646145646.352402,True
26.106,23468713.937295187,True,23468713.937295187,2669614360.289697,True
25.0499,21638054.528071005,True,21638054.528071005,2691252414.817768,True
34.661,40825547.08499307,True,40825547.08499307,2732077961.902761,True
16.8766,9907469.730464423,True,9907469.730464423,2741985431.6332254,True
4.91363,845422.5199327779,True,845422.5199327779,2742830854.153158,False
19.0583,12609429.075810703,True,12609429.075810703,2755440283.228969,True
54.9765,98018779.56004174,True,98018779.56004174,2853459062.789011,True
41.4798,57697426.90385172,True,57697426.90385172,2911156489.6928625,True
0.0,0.0,False,0.0,2911156489.6928625,False
0.0632424,140.1366529969056,True,140.1366529969056,2911156629.8295155,False
0.0401098,56.36844761215874,True,56.36844761215874,2911156686.197963,False
0.0220368,17.015007868002133,False,0.0,2911156686.197963,False
0.0709495,176.37365798676956,True,176.37365798676956,2911156862.5716214,False
0.0966684,327.41913530612646,True,327.41913530612646,2911157189.9907565,False
0.0470909,77.69785982104924,True,77.69785982104924,2911157267.6886163,False
0.0521651,95.34439292075338,True,95.34439292075338,2911157363.033009,False
0.0157935,8.739606239534002,False,0.0,2911157363.033009,False
0.0878594,270.4652540861828,True,270.4652540861828,2911157633.4982634,False
0.0458285,73.58789187874909,True,73.58789187874909,2911157707.0861554,False
0.0296125,30.724529222611814,True,30.724529222611814,2911157737.8106847,False
