Energy_keV,Angle_deg
790.056,0.0261219
829.834,0.0796193
685.588,0.0747411
806.131,0.0490807
598.011,0.0302573
727.561,0.092582
694.418,0.0887368
673.157,0.0289886
812.52,0.129107
1233,0.0314345
722.228,0.0394878
1475.38,0.0566633
25.932,0.00911155
34.7704,8.42629
15.197,7.14733
832.338,0.0339129
831.017,0.042573
710.977,0.0542072
632.878,0.0498555
766.058,0.126832
2.40069,0.000218893
3.84575,1.54287
671.145,0.0272079
870.414,0.088075
639.664,0.0833037
734.779,0.0829506
1121.85,0.0408416
694.204,0.0447593
783.179,0.692224
784.927,0.0765099
749.092,0.0641185
1195.12,0.0705214
652.16,0.0883894
707.184,0.0657958
667.011,0.0928609
881.878,0.0410037
712.764,0.0658842
1114.71,0.0559603
1460.94,0.092095
869.842,0.274263
636.781,0.0590691
840.667,0.0966457
987.085,0.0123034
727.482,0.110955
1425.65,0.0176363
757.801,0.0976513
660.509,0.0345774
758.689,0.0414957
818.114,0.0507897
1079.66,0.0770624
830.839,0.0865
624.771,0.0546342
682.056,0.0246807
1039.58,0.0447541
817.224,0.0722916
692.401,0.0227051
833.918,0.0231954
835.742,0.0513882
882.643,0.0384211
654.963,0.0283667
703.528,0.0381762
806.911,0.0332454
712.961,0.106549
157.448,0.0365717
669.578,0.0963591
60.9693,22.5851
139.624,8.88855
128.215,24.0109
151.622,77.4784
189.203,20.5923
184.505,71.1096
130.43,5.3473
67.4222,120.261
60.0285,109.44
51.7808,139.888
66.1477,122.444
81.2622,33.4018
127.427,0
648.598,0.0549309
754.962,0.0844445
995.056,0.0139446
712.879,0.0522865
834.02,0.00810267
744.86,0.0638267
785.619,0.089646
811.61,0.101633
666.212,0.0913187
803.48,0.00678777
666.515,0.0915926
810.246,0.111147
794.186,0.0172446
655.441,0.0529417
680.33,0.00757998
936.025,0.0699056
761.528,0.0275863
796.386,0.0748529
988.056,0.145408
802.961,0.0916621
819.631,0.0495168
1032.81,0.0825653
719.313,0.044851
792.705,0.0357854
978.463,0.0261084
706.281,0.0793772
770.196,0.0814775
709.207,0.0585803
840.826,0.0497407
1027.61,0.0668745
810.685,0.0637844
694.866,0.0552912
757.03,0.142298
745.36,0.0803279
697.299,0.0421711
875.787,0.0518666
625.95,0.161199
773.626,0.106882
755.175,0.0345598
853.272,0.0807708
711.173,0.0560217
803.657,0.0558639
831.207,0.0106378
778.53,0.115841
781.524,0.0546401
881.378,0.151488
766.463,0.0224827
664.649,0.0339289
64.424,0.0556056
632.496,0.0465654
105.677,18.1503
63.5167,22.1824
124.512,22.9654
122.405,20.7857
150.361,35.4034
181.519,31.5729
172.046,74.5304
169.12,48.0899
163.538,77.638
149.571,24.2934
64.6492,69.5348
22.8854,14.9292
669.358,0.0424553
752.252,0.0332677
1112.59,0.0913403
835.858,0.088217
785.096,0.0288827
684.66,0.0584907
803.998,0.0521951
645.199,0.0233574
726.577,0.0706403
802.168,0.27263
624.025,0.0775695
749.444,0.144482
788.096,0.0701666
667.84,0.0889188
756.761,0.083766
852.77,0.0909999
1311.29,0.0504237
992.519,0.0492714
656.528,0.0173186
672.981,0.0249887
612.814,0.10153
644.033,0.0271533
655.173,0.0593964
797.388,0.058235
785.63,0.0336593
879.373,0.0436399
873.035,0.0899151
764.605,0.0263424
755.048,0.071176
906.693,0.0604579
656.994,0.0182392
637.153,0.0658104
614.028,0.0503442
774.672,0.0370443
1269.63,0.0563936
674.593,0.0214638
1040.51,0.0310594
683.259,0.085637
723.558,0.043227
768.594,0.0573419
837.744,0.0417811
735.294,0.0602209
1212.12,0.0574103
752.404,0.078009
760.376,0.00840228
846.416,0.0351866
805.323,0.0758352
768.495,0.135905
668.006,0.137634
826.313,0.0432238
99.1591,0.0440042
689.708,0.0335075
38.3531,19.4855
53.8464,25.2755
93.3758,84.1195
60.8362,170.674
65.4841,58.3227
104.765,98.7407
200.698,52.1384
92.9706,53.7751
271.236,57.5335
61.3823,56.8709
87.4346,129.535
47.1927,0
695.314,0.0388149
708.676,0.0673329
747.239,0.0247974
860.605,0.0347687
728.797,0.0123178
816.381,0.0432918
768.682,0.0596494
351.185,0.035581
352.375,0.0473321
233.963,13.6989
89.1814,14.0899
115.966,4.92724
715.086,0.00282592
1067.1,0.0177189
898.206,0.0560947
834.151,0.071141
1012.12,0.118864
813.106,0.138862
749.919,0.0214479
915.728,0.0454577
725.692,0.101262
725.792,0.068435
869.624,0.0298868
756.153,0.0234989
840.964,0.0456959
1091.88,0.0187584
1205.12,0.0828746
693.878,0.0414921
761.82,0.164949
676.547,0.0961594
680.564,0.03024
930.028,0.0449515
740.533,0.0583712
649.52,0.0207512
726.694,0.0676184
3.40243,11.485
0.100826,99.2507
0.698498,41.5348
0.459021,129.935
1.41089,26.6315
0.772316,47.3297
0.85113,86.4338
0.026198,31.161
0.382324,47.0828
0.0233966,29.3856
0.105576,116.185
0.640468,92.2966
0.201839,21.3775
0.0170296,50.2053
0.364625,50.1428
749.301,0.0863011
754.764,0.0466011
691.94,0.0329907
689.379,0.0780722
755.991,0.0364148
1283.48,0.0749079
922.008,0.0646257
847.768,0.0346207
850.088,0.0685837
1082.71,0.0950712
884.293,0.0694162
660.804,0.104296
836.641,0.0592896
775.243,0.0951124
1215.56,0.062548
1076.63,0.0289235
682.596,0.0283376
820.96,0.00702892
756.728,0.0445644
750.988,0.09412
695.215,0.179174
647.4,0.0230294
653.448,0.0338532
663.804,0.0674852
862.371,0.0650469
690.5,0.0509173
777.34,0.079956
913.19,0.0280161
801.49,0.0324645
1147,0.0925284
1059.22,0.0556625
665.049,0.0465002
897.649,0.0818647
618.775,0.0173399
721.608,0.0121327
709.859,0.0200507
692.871,0.0227333
705.318,0.0227639
781.196,0.118005
63.4921,0.0286953
618.643,0.0174748
41.4566,12.8057
75.7091,30.5729
103.793,28.4893
346.943,30.5843
175.436,60.8563
134.528,64.5288
120.616,51.7223
98.212,52.9835
96.6913,79.7167
99.6512,56.4929
86.0471,103.629
17.6679,56.6185
669.079,0.0452879
671.616,0.0473286
1187.02,0.0797051
631.431,0.0597006
441.421,0.0285151
557.587,0.0261024
151.843,29.0413
285.909,78.8653
499.163,0
715.895,0.0488633
761.568,0.0782785
688.86,0.0837692
813.156,0.0386947
632.009,0.0466782
726.719,0.0209026
732.762,0.0651197
884.604,0.0378178
1409.31,0.0558284
984.68,0.0956121
777.74,0.0266048
660.774,0.0572836
761.792,0.0906455
969.318,0.0661796
836.71,0.0363833
812.859,0.0878835
949.95,0.138846
960.537,0.0684209
703.24,0.0555858
1388.9,0.0688721
798.909,0.0600316
611.593,0.128295
839.645,0.10122
1358.66,0.0708206
786.074,0.08874
666.662,0.0562236
749.402,0.10014
849.436,0.0317689
643.219,0.0338339
806.838,0.0238859
715.949,0.105352
803.54,0.0607794
782.259,0.0258851
867.79,0.048312
812.431,0.134099
683.182,0.0620158
807.557,0.0161021
730.904,0.0340021
827.613,0.0669935
49.5107,0.0193317
786.594,0.095083
26.4266,14.8256
42.8231,36.661
45.6751,19.2985
40.7481,63.1371
61.4468,28.181
47.8168,25.3179
20.5895,36.7068
50.5512,15.7596
19.1998,24.6875
781.994,0.0911122
865.719,0.0626765
715.719,0.0675685
793.092,0.0657671
654.354,0.0208949
816.73,0.0628404
685.086,0.0315304
761.402,0.0312825
586.986,0.060247
54.85,0.0151528
43.8504,9.61608
67.1749,24.6778
14.4743,17.3663
644.671,0.0977671
650.377,0.0814357
746.788,0.0720916
846.671,0.0231325
766.544,0.132685
902.875,0.0492783
1029.08,0.0627456
204.463,0.042811
544.724,0.099165
164.833,52.0218
203.847,95.5474
135.162,77.9942
231.251,107.589
446.932,0
801.135,0.0330523
695.262,0.0603402
961.054,0.0442466
657.293,0.0469626
831.709,0.0686986
689.06,0.0427153
654.439,0.0845451
1707.99,0.0164489
737.174,0.0752577
1366.6,0.115512
918.093,0.0421673
627.057,0.0533755
809.319,0.0860359
705.388,0.0811149
