Energy_keV,Angle_deg
733.785,0.0564686
67.1469,0.0199214
816.487,0.0516572
12.7509,0.0036818
135.811,0.00763916
602.324,0.105142
633.746,0.08986
854.923,0.110868
125.042,0.0149098
589.924,0.0336924
686.909,0.045431
82.042,0.0603192
734.674,0.0459311
704.459,0.0561509
700.46,0.0318747
738.017,0.0749501
1021.06,0.0363499
3.49883,0.013167
698.639,0.0181977
711.19,0.0312874
729.65,0.0237468
705.493,0.057833
696.187,0.109301
157.482,0.0418469
762.931,0.0408973
238.709,0.0206415
641.729,0.0755459
613.307,0.0824541
277.492,0.0323647
688.875,0.0773171
379.448,0.0538608
237.786,0.038001
95.8768,0.0280667
834.021,0.0170885
812.557,0.0146549
788.596,0.0344872
878.977,0.0967699
752.035,0.0403601
253.305,0.0508332
603.017,0.054569
123.507,20.0392
236.665,128.907
135.786,26.6468
104.942,62.2531
449.486,0
635.454,0.0499807
338.663,0.0134843
63.1198,0.0418692
802.228,0.0810495
10.371,0
46.7904,0
783.593,0.0190903
1043.98,0.031121
157.527,0.010665
266.182,0.0367215
413.152,0.0669015
140.812,13.6178
181.101,27.0269
89.6507,41.4877
80.2691,13.9403
716.117,0.0650243
712.62,0.073398
1204.48,0.0569314
772.313,0.0533034
1184.1,0.0382539
521.753,0.0471498
91.5845,0.0338862
120.619,0.0388085
712.641,0.0665652
742.326,0.0217046
500.808,0.0204231
185.79,0.0369447
682.198,0.0780232
799.282,0.0447223
305.953,0.0672272
441.313,0.076223
846.104,0.0561822
787.699,0.0313804
319.014,0.065819
17.9262,0.00530972
194.037,0.0201407
169.007,0.0834414
209.793,17.0158
576.943,0
707.732,0.0309576
633.064,0.0143901
303.971,0.0256909
771.609,0.0884994
368.656,0.0617802
219.145,0.0459895
98.9261,0.0265278
237.605,40.0222
686.125,0
63.9985,0.0135073
657.387,0.142588
250.764,0.0560551
846.172,0.0528271
717.697,0.0386749
1176.77,0.0795392
170.22,0.043681
341.58,0.0261725
396.772,0.132255
440.673,0.0394865
321.687,0.0467222
78.5684,0.00912942
775.886,0.0416836
1182.41,0.079743
85.1355,0.0277861
53.5649,0.0142667
20.6801,0.0281361
278.407,0.0652838
213.51,0.0161954
91.1808,30.8465
138.914,66.9791
143.257,30.6215
441.296,24.9853
171.879,97.1859
471.651,0
40.693,0.502158
19.3352,0.246901
824.964,0.0224732
676.049,0.0713863
121.926,0.0254989
707.939,0.0489408
33.2368,4.29601
45.7,39.7636
92.7661,42.1125
82.7882,17.2179
198.793,21.2346
86.2127,4.63932
42.6876,11.213
183.854,51.7632
32.8693,46.3002
46.0067,47.6029
27.2255,18.1632
40.1008,22.5712
41.8162,34.5528
33.0086,74.5961
13.5911,39.9553
10.371,0
10.4998,0
1061.19,0.023335
248.913,0.0264353
571.988,0.0137266
614.741,0.0948965
163.724,0.0180365
739.28,0.16431
608.255,0.0802895
206.768,0.0196638
1209.62,0.0582337
766.173,0.0377601
730.112,0.0187585
680.626,0.0347873
804.331,0.101757
717.862,0.0317923
74.278,0.00471555
548.952,0.058393
210.494,0.0349779
758.527,0.0633659
855.177,0.0575802
855.377,0.0595388
721.991,0.0847016
1090.63,0.0119887
220.044,0.0201346
316.084,0.0246945
202.31,0.0141289
264.119,0.0426307
369.085,0.0388241
437.378,0.0259783
1354.1,0.171043
427.585,0.0230592
88.4169,0.0437918
194.423,0.0274355
687.874,0.0943209
266.209,0.0307309
589.192,0.0578347
793.951,0.0646928
1018.71,0.0572764
563.639,0.028365
496.877,0.0187458
829.4,0.05389
968.566,0.0262853
1080.77,0.132916
276.882,0.032938
483.85,0.124131
825.945,0.0614188
19.5061,0.0163987
993.019,0.0726401
693.236,0.0637187
66.37,0.00102062
1044.07,0.0896786
841.303,0.0408166
675.473,0.0584085
30.9885,0.010245
1077.6,0.019426
158.975,0.0312384
132.342,0.0709652
429.661,0.0806634
280.907,0.0569666
553.241,7.15294
45.7515,1.45504
10.371,0
10.045,0
87.7271,0.017139
654.598,0.056038
277.486,0.069848
294.342,0.303107
198.817,0.438311
657.177,0.0223396
130.359,0.00752092
15.4038,0.00886413
713.51,0.0850813
1228.28,0.0739424
847.684,0.101828
55.0831,0.0160973
1116.17,0.00679707
426.785,0.0143607
161.66,0.0176005
46.3496,0.0229346
133.81,56.8935
130.189,61.8959
52.007,16.5014
31.1253,56.5655
30.8112,50.3012
4.51699,13.2122
702.832,0.132121
775.573,0.241457
941.628,0.0651884
745.691,0.134863
715.419,0.071592
413.081,0.0216222
372.83,0.122848
198.062,67.1383
234.681,49.7533
192.401,66.5358
202.586,50.2921
137.83,120.818
101.208,137.101
98.9201,47.6757
91.9295,22.7962
437.095,0
771.69,0.0769947
238.361,0.0431815
517.967,0.0461903
76.3378,0.607454
701.466,4.3068
10.371,0
7.00234,0
74.0185,0.0225455
630.98,0.0933375
847.503,0.0523441
32.2266,0.0105647
248.356,0.0184591
63.3312,0.00517915
605.576,0.00452658
682.318,0.0648245
848.49,0.0674106
694.467,0.0555078
685.331,0.0298476
82.7581,0.00749031
29.8587,0.0069052
122.346,0.0128653
675.219,0.0544888
419.832,0.0110387
479.031,0.122012
644.375,0.0227631
827.796,0.066986
43.8694,0.0298744
