angle_deg,d_sigma_dOmega
0.0,3182.2659585372326
0.5128205128205128,4.5471436129413565
1.0256410256410255,1.948879916586545
1.5384615384615383,1.1137348885069973
2.051282051282051,0.2165826962811341
2.564102564102564,0.17722768862534657
3.0769230769230766,0.2999718475608733
3.5897435897435894,0.3900363208802242
4.102564102564102,0.688446494676917
4.615384615384615,0.1026877603954238
5.128205128205128,0.1858655995137442
5.6410256410256405,0.1697532610728597
6.153846153846153,0.07811154537492565
6.666666666666666,0.3617531965671812
7.179487179487179,0.20215846138175805
7.692307692307692,0.18919183668807138
8.205128205128204,0.2370689584368081
8.717948717948717,0.27952976262876744
9.23076923076923,0.0
9.743589743589743,0.050221695351846264
10.256410256410255,0.19118972554564817
10.769230769230768,0.182399677195611
11.282051282051281,0.087197856560929
11.794871794871794,0.08353874664686109
12.307692307692307,0.12027079517540629
12.82051282051282,0.11563172006692685
13.333333333333332,0.14846109100646449
13.846153846153845,0.14316609368027447
14.358974358974358,0.17280810530330623
14.87179487179487,0.16708012388344518
15.384615384615383,0.09703933512730041
15.897435897435896,0.06269129014712638
16.41025641025641,0.09122183660297964
16.92307692307692,0.11810303300967219
17.435897435897434,0.057392286111903966
17.94871794871795,0.1674842990391899
18.46153846153846,0.05435115127029842
18.97435897435897,0.10590893552139316
19.487179487179485,0.025815900343432348
